marca,modelo,ano,km,cambio,preco,status
VOLKSWAGEN,VOYAGE MPI 1.0 4P,"2021/2022
","43.339 km
",MANUAL,R$ 58.590,disponivel
VOLKSWAGEN,VOYAGE 1.0,"2022/2023
","60.018 km
",MANUAL,R$ 58.990,disponivel
CHEVROLET,ONIX PLUS TURBO LTZ MT 1.0 4P,"2021/2022
","39.669 km
",MANUAL,R$ 80.990,disponivel
VOLKSWAGEN,GOL 1.0,"2022/2023
","49.899 km
",MANUAL,R$ 56.990,disponivel
FIAT,ARGO 1.0,"2022/2023
","51.826 km
",MANUAL,R$ 61.990,disponivel
FIAT,MOBI LIKE 1.0 4P,"2022/2023
","17.259 km
",MANUAL,R$ 59.090,disponivel
VOLKSWAGEN,VOYAGE MPI AT 1.6 4P,"2021/2022
","77.396 km
",AUTOMÁTICO,R$ 66.390,disponivel
VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
","70.504 km
",MANUAL,R$ 53.190,disponivel
CITROEN,C3 FEEL 1.0,"2022/2023
","35.763 km
",MANUAL,R$ 73.090,disponivel
HYUNDAI,HB20 COMFORT 1.0,"2022/2023
","61.832 km
",MANUAL,R$ 66.990,disponivel
HYUNDAI,HB20 COMFORT 1.0,"2022/2023
","59.042 km
",MANUAL,R$ 66.990,disponivel
FIAT,ARGO FLEX 1.0 4P,"2021/2022
","32.622 km
",MANUAL,R$ 65.190,disponivel
FIAT,ARGO FLEX 1.0 4P,"2022/2023
","59.666 km
",MANUAL,R$ 64.490,disponivel
FIAT,MOBI LIKE 1.0 4P,"2022/2022
","56.781 km
",MANUAL,R$ 54.390,disponivel
CHEVROLET,ONIX PLUS TURBO LTZ AT 1.0 4P,"2022/2023
","30.004 km
",AUTOMÁTICO,R$ 93.890,disponivel
HYUNDAI,HB20 VISION 1.0,"2022/2022
","74.916 km
",MANUAL,R$ 63.990,disponivel
HYUNDAI,HB20 LIMITED 1.0,"2022/2023
","63.024 km
",MANUAL,R$ 69.990,disponivel
FIAT,ARGO DRIVE 1.0,"2022/2023
","40.207 km
",MANUAL,R$ 69.490,disponivel
VOLKSWAGEN,VIRTUS MSI AT 1.6 4P,"2019/2020
","77.416 km
",AUTOMÁTICO,R$ 74.690,disponivel
FIAT,ARGO FLEX 1.0 4P,"2022/2023
","77.416 km
",MANUAL,R$ 64.090,disponivel
HYUNDAI,HB20 LIMITED 1.0,"2022/2023
","56.395 km
",MANUAL,R$ 69.990,disponivel
HYUNDAI,HB20S PLATINUM TGDI AT 1.0 4P,"2022/2022
","27.540 km
",AUTOMÁTICO,R$ 88.990,disponivel
VOLKSWAGEN,GOL 1.0,"2022/2023
","62.495 km
",MANUAL,R$ 56.990,disponivel
FIAT,MOBI LIKE 1.0,"2022/2023
","61.309 km
",MANUAL,R$ 52.990,disponivel
FIAT,MOBI LIKE 1.0,"2022/2023
","61.073 km
",MANUAL,R$ 52.990,disponivel
CHEVROLET,SPIN PREMIER 7L 1.8,"2022/2023
","42.525 km
",AUTOMÁTICO,R$ 103.790,disponivel
FIAT,ARGO DRIVE 1.0,"2020/2021
","38.325 km
",MANUAL,R$ 65.990,disponivel
FIAT,ARGO FLEX 1.0 4P,"2021/2022
","37.220 km
",MANUAL,R$ 64.090,disponivel
VOLKSWAGEN,GOL 1.0,"2022/2023
","52.297 km
",MANUAL,R$ 56.990,disponivel
FIAT,MOBI LIKE 1.0,"2022/2023
","43.000 km
",MANUAL,R$ 52.990,disponivel
HYUNDAI,HB20 COMFORT 1.0,"2022/2023
","48.228 km
",MANUAL,R$ 66.990,disponivel
CHEVROLET,TRACKER PREMIER 1.2,"2022/2023
","52.938 km
",AUTOMÁTICO,R$ 118.990,disponivel
HYUNDAI,HB20 COMFORT 1.0,"2022/2023
","49.434 km
",MANUAL,R$ 66.990,disponivel
VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2022
","23.745 km
",AUTOMÁTICO,R$ 124.390,disponivel
RENAULT,CAPTUR INTENSE AT SCE 1.6 4P,"2019/2020
","49.959 km
",AUTOMÁTICO,R$ 85.990,disponivel
FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
","53.547 km
",MANUAL,R$ 50.990,disponivel
MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
","47.270 km
",AUTOMÁTICO,R$ 146.990,disponivel
HYUNDAI,HB20 COMFORT 1.0,"2022/2023
","61.748 km
",MANUAL,R$ 66.990,disponivel
HYUNDAI,HB20 COMFORT 1.0,"2022/2023
","54.248 km
",MANUAL,R$ 66.990,disponivel
VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,"2022/2023
","3.896 km
",AUTOMÁTICO,R$ 133.990,disponivel
RENAULT,CAPTUR INTENSE AT SCE 1.6 4P,"2019/2020
","83.226 km
",AUTOMÁTICO,R$ 84.090,disponivel
RENAULT,DUSTER ZEN AT SCE 1.6 4P,"2020/2021
","95.258 km
",AUTOMÁTICO,R$ 83.290,disponivel
VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,"2022/2023
","42.663 km
",AUTOMÁTICO,R$ 112.990,disponivel
FIAT,ARGO FLEX 1.0 4P,"2022/2023
","64.453 km
",MANUAL,R$ 62.890,disponivel
VOLKSWAGEN,VOYAGE MPI 1.0 4P,"2021/2022
","58.239 km
",MANUAL,R$ 58.190,disponivel
FIAT,MOBI LIKE 1.0,"2022/2023
","60.230 km
",MANUAL,R$ 52.990,disponivel
VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
","49.039 km
",AUTOMÁTICO,R$ 122.900,disponivel
FIAT,TORO ENDURANCE FLEX MT 4X2 1.8 4P,"2020/2020
","37.115 km
",MANUAL,R$ 95.900,disponivel
FIAT,CRONOS DRIVE 1.0,"2022/2023
","40.676 km
",MANUAL,R$ 71.990,disponivel
VOLKSWAGEN,GOL MPI 1.0 4P,"2019/2020
","20.283 km
",MANUAL,R$ 55.390,disponivel
CHERY,TIGGO 5X PRO 1.5,"2022/2023
","16.866 km
",AUTOMÁTICO,R$ 146.090,disponivel
CHEVROLET,ONIX PLUS LT 1.0,"2022/2023
","27.451 km
",MANUAL,R$ 82.990,disponivel
RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,"2019/2020
","50.706 km
",AUTOMÁTICO,R$ 78.890,disponivel
RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,"2019/2020
","65.677 km
",AUTOMÁTICO,R$ 77.990,disponivel
NISSAN,KICKS ACTIVE 1.6,"2022/2022
","46.502 km
",AUTOMÁTICO,R$ 96.990,disponivel
VOLVO,XC40 T4 MOMENTUM 2.0,"2020/2021
","34.307 km
",AUTOMÁTICO,R$ 205.390,disponivel
VOLKSWAGEN,GOL MPI 1.0 4P,"2022/2023
","47.931 km
",MANUAL,R$ 59.390,disponivel
JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,"2020/2021
","35.874 km
",AUTOMÁTICO,R$ 122.190,disponivel
VOLKSWAGEN,GOL MPI MT 1.6 4P,"2020/2021
","88.690 km
",MANUAL,R$ 54.190,disponivel
VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,"2019/2019
","70.813 km
",AUTOMÁTICO,R$ 133.990,disponivel
FIAT,ARGO DRIVE 1.0 4P,"2022/2022
","18.503 km
",MANUAL,R$ 69.290,disponivel
FIAT,CRONOS DRIVE 1.3,"2022/2022
","43.356 km
",MANUAL,R$ 77.390,disponivel
FIAT,CRONOS DRIVE 1.3 4P,"2022/2022
","50.926 km
",MANUAL,R$ 75.490,disponivel
VOLKSWAGEN,VOYAGE 1.6,"2021/2022
","61.897 km
",MANUAL,R$ 64.990,disponivel
TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,"2021/2022
","39.921 km
",AUTOMÁTICO,R$ 125.990,disponivel
FIAT,ARGO DRIVE 1.0 4P,"2020/2020
","66.288 km
",MANUAL,R$ 55.900,disponivel
FIAT,STRADA CP ENDURANCE FLEX 1.4 2P,"2022/2022
","25.980 km
",MANUAL,R$ 79.390,disponivel
HYUNDAI,HB20 EVOLUTION 1.0 4P,"2022/2022
","78.809 km
",MANUAL,R$ 65.590,disponivel
HYUNDAI,HB20 VISION 1.0 4P,"2022/2022
","41.885 km
",MANUAL,R$ 66.290,disponivel
VOLKSWAGEN,VOYAGE MPI 1.0 4P,"2022/2023
","40.579 km
",MANUAL,R$ 61.790,disponivel
VOLKSWAGEN,GOL MPI 1.0 4P,"2021/2022
","73.549 km
",MANUAL,R$ 53.190,disponivel
FIAT,ARGO DRIVE 1.0,"2022/2022
","33.892 km
",MANUAL,R$ 68.490,disponivel
